1325951217713942530,@vidaban49104501 @guilhermeboulos concordo. quem vota hoje em russomanno não tende a votar em boulos.,neutral,@ vidaban49104501 @guilhermeboulos I agree. those who vote in Russomanno today do not tend to vote for boulos.
1325951145085431813,"@jose_simao cuidado russomanno, kkkk",neutral,"@jose_simao care Russomanno, kkkk"
1325951109240918016,@couttinho pesquisa do uol? tendenciosa demais. não assuste se o russomanno ganhar.,positive,@couttinho do uol research? too biased. don't be alarmed if Russomanno wins.
1325951076340731905,"@rudaricci o russomanno está perdendo pontos, mas quem está ganhando esses pontos é o covas, estou desconfiado que nem terá segundo turno, o tucano leva no primeiro.",positive,"@rudaricci the Russomanno is losing points, but whoever is earning those points is the caves, I am suspicious that there will not even be a second round, the toucan takes the first."
1325950945059090433,o derretimento do russomanno já pode entrar pro hall das tradições paulistanas.,neutral,the melting of Russomanno can now enter the hall of São Paulo traditions.
1325950891669721089,"@carteiroreaca @patrlotas não entendo, gil. agora o russomanno é o melhor pra cidade de são paulo?",positive,"@carteiroreaca @patrlotas I don't understand, Gil. Now Russomanno is the best for the city of São Paulo?"
1325950828763623424,quem acredita nas pesquisas do ibope e,neutral,who believes in ibope research and
1325950580347564033,ibope são paulo: boulos passa russomanno e fica em segundo lugar,neutral,ibope são paulo: boulos passes Russomanno and takes second place
1325950412420231169,"ibope sp: covas vai a 32%; boulos, russomanno e frança disputam vaga no 2º turno",negative,"ibope sp: covas goes to 32%; boulos, russomanno and france compete for a place in the 2nd round"
1325950295961169920,"@isoldabolsonaro @derlinrod @celsorussomanno celso russomanno está em declínio,e outra o cara é mó judas",neutral,"@isoldabolsonaro @derlinrod @celsorussomanno celso russomanno is on the decline, and another guy is mó judas"
1325950144412528642,@carteiroreaca @celsorussomanno @castellosp @douglasgarcia @majormecca @davilafrederico @andrepetros @steh_papaiano @rodrigoneves77 @caiquemafra38 @moura_101 você sabe muito bem que o arthur tem chances de ir pro 2º turno se a direita toda apoiar. o problema é que vocês não conseguem apoiá-lo por puro orgulho. preferem lamber as botas do pior que existe na política que é um cara como o russomanno,negative,@carteiroreaca @celsorussomanno @castellosp @douglasgarcia @majormecca @davilafrederico @andrepetros @steh_papaiano @ rodrigoneves77 @ caiquemafra38 @ moura_101 you know very well that arthur has a chance to go to the 2nd round if the whole right supports. the problem is that you cannot support it out of pure pride. prefer to lick the boots of the worst in politics that is a guy like Russomanno
1325950138997739520,boulos chegou lá !,neutral,boulos got there!
1325950068113936386,@sweetdoublebx tenho medo do russomanno acabar ganhando,negative,@sweetdoublebx I'm afraid Russomanno will end up winning
1325950038674182144,@celsorussomanno @castellosp @carteiroreaca @douglasgarcia @majormecca @davilafrederico @andrepetros @steh_papaiano @rodrigoneves77 @caiquemafra38 vou votar no russomanno pq boulos e covas não dá. tem que ser uma anta pra votar no boulos ou covas é tiro no pé de 12,neutral,@celsorussomanno @castellosp @carteiroreaca @douglasgarcia @majormecca @davilafrederico @andrepetros @steh_papaiano @ rodrigoneves77 @ caiquemafra38 I'm going to vote for Russomanno because boulos and caves can't. have to be a tapir to vote for boulos or pits is shot in the foot of 12
1325949984047575042,@harunomestre @khr_sts boiola nunca é russomanno na cabeça,neutral,@harunomestre @khr_sts boiola is never Russomanno in the head
1325949982030049280,@clayton_kr e em 2016 já tava uma suadeira contra o russomanno pro segundo lugar.,neutral,@clayton_kr and in 2016 there was already a sweat against Russomanno for second place.
1325949956042223616,não estou contestando a intenção de votos do boulos-erundina não...falo do boicote ao pt .. eu apenas acho que tatto tem mais votos que russomanno e frança,positive,I am not contesting the intention of votes of the boulos-erundina no ... I speak of the boycott of the pt .. I just think that tatto has more votes than russomanno and france
